epoch,train_loss,val_loss,val_accuracy
0,6.676371689729402,6.327507629394531,0.03
1,5.960567797414042,5.749056415557861,0.13
2,5.321860488217412,5.246799011230468,0.37
3,4.7473084122000815,4.778905296325684,0.475
4,4.202980042244592,4.289307975769043,0.615
5,3.664600796919535,3.8255421257019044,0.67
6,3.14181466457032,3.374299144744873,0.69
7,2.6410708232656224,2.9437282562255858,0.74
8,2.1879672811983535,2.5485137557983397,0.765
9,1.775922334340949,2.177884397506714,0.785
10,1.4369924214530658,1.8396488666534423,0.81
11,1.1474025590333905,1.5934595632553101,0.81
12,0.9184758076423908,1.3704738330841064,0.84
13,0.7357865480555859,1.2332093715667725,0.845
14,0.5891457927088485,1.0889525079727174,0.845
15,0.47660866890845455,0.9834457206726074,0.855
16,0.38798893590699596,0.9172705316543579,0.855
17,0.3167225395185381,0.8723746466636658,0.855
18,0.26634336785365,0.8491567933559417,0.855
19,0.22240099761201712,0.8023962152004241,0.875
20,0.19009085201706852,0.80019775390625,0.85
21,0.1656284743347523,0.7881687253713607,0.88
22,0.14622623032166185,0.7546466010808944,0.885
23,0.12768509549849286,0.7983317583799362,0.86
