epoch,train_loss,val_loss,val_accuracy
0,6.764072605030348,6.413891067504883,0.07
1,5.978265639265501,5.596471557617187,0.345
2,5.1759315797860435,4.914013442993164,0.575
3,4.462333436254226,4.318781890869141,0.625
4,3.798820405406379,3.765687370300293,0.67
5,3.1847261073962136,3.2744346904754638,0.675
6,2.625236212404835,2.8213471221923827,0.71
7,2.1316476702456946,2.4465427207946777,0.725
8,1.716453864719552,2.0477183055877686,0.76
9,1.374058799863808,1.7799460887908936,0.775
10,1.1032855391378933,1.5487737560272217,0.78
11,0.8849178889296763,1.3469045734405518,0.79
12,0.716753331019132,1.228525195121765,0.815
13,0.5862388286343955,1.1209927558898927,0.835
14,0.4784576896144721,1.033645944595337,0.85
15,0.39767390032479,0.9549182724952697,0.84
16,0.32721167134821666,0.9350291299819946,0.835
17,0.2759513393080477,0.8855918407440185,0.85
18,0.23231208717407423,0.8864535522460938,0.835
19,0.20002013270616423,0.835861764550209,0.85
20,0.1688877935600067,0.8238756167888641,0.865
21,0.14597125980497683,0.8196010929346085,0.865
22,0.13106810301799465,0.807319666147232,0.87
23,0.1171083477250833,0.8525728631019592,0.85
